#长期数据集，每小时统计一次，并且：,,
,,
# max_sum_non_zero：48小时内（过去48小时）涨幅前10的新币的累计涨幅之和。,,
# min_sum_non_zero：48小时内（过去48小时）跌幅前10的新币的累计跌幅之和,,
,max_sum_non_zero,min_sum_non_zero
fudu_426,174.96%,-186.10%
fudu_427,187.28%,-183.35%
fudu_428,196.81%,-172.72%
fudu_429,251.55%,-111.81%
fudu_430,244.64%,-118.69%
fudu_431,219.33%,-166.30%
fudu_432,271.14%,-122.32%
fudu_433,250.90%,-135.19%
fudu_434,260.75%,-40.16%
fudu_435,217.94%,-51.83%
fudu_436,189.86%,-72.66%
fudu_437,192.24%,-50.83%
fudu_438,190.14%,-31.38%
fudu_439,125.74%,-59.03%
fudu_440,81.40%,-42.92%
fudu_441,113.66%,-31.06%
fudu_442,102.13%,-38.38%
fudu_443,77.18%,-60.99%
fudu_444,85.09%,-46.15%
fudu_445,97.26%,-43.18%
fudu_446,109.27%,-37.97%
fudu_447,96.55%,-36.73%
fudu_448,102.31%,-58.55%
fudu_449,126.56%,-58.54%
fudu_450,117.95%,-61.76%
fudu_451,110.71%,-76.45%
fudu_452,97.38%,-79.22%
fudu_453,109.44%,-78.15%
fudu_454,74.52%,-92.44%
fudu_455,82.73%,-83.45%
fudu_456,101.44%,-65.10%
fudu_457,78.03%,-75.37%
fudu_458,48.70%,-122.35%
fudu_459,40.32%,-181.81%
fudu_460,33.88%,-179.67%
fudu_461,28.64%,-195.26%
fudu_462,45.74%,-171.82%
fudu_463,29.83%,-161.78%
fudu_464,45.24%,-139.13%
fudu_465,38.01%,-153.21%
fudu_466,31.48%,-192.00%
fudu_467,11.66%,-232.21%
fudu_468,-2.17%,-276.15%
fudu_469,9.27%,-251.79%
fudu_470,13.60%,-249.50%
fudu_471,30.31%,-201.48%
fudu_472,34.46%,-227.81%
fudu_473,34.08%,-208.66%
fudu_474,40.58%,-208.04%
fudu_475,50.79%,-215.98%
fudu_476,45.16%,-246.81%
fudu_477,45.14%,-211.90%
fudu_478,49.36%,-192.56%
fudu_479,48.71%,-215.77%
fudu_480,45.77%,-198.04%
fudu_481,27.50%,-235.80%
fudu_482,25.38%,-252.40%
