,max_sum_non_zero,min_sum_non_zero
fudu_240,109.2946,-98.9614
fudu_416,140.1386,-99.2045
fudu_64,101.5048,-99.2459
fudu_1211,183.3238,-99.5377
fudu_955,56.6881,-99.6727
fudu_611,60.6423,-99.7277
fudu_54,158.6922,-99.7432
fudu_1352,32.0439,-99.9532
fudu_193,70.6987,-99.9621
fudu_313,135.8998,-100.264
fudu_65,117.3557,-100.3185
fudu_1047,20.7289,-100.4004
fudu_613,50.5631,-100.5063
fudu_1263,187.8098,-100.6071
fudu_160,108.1943,-100.6864
fudu_231,91.5648,-100.8014
fudu_1113,82.597,-100.9548
fudu_236,98.937,-101.0312
fudu_1450,55.7107,-101.1224
fudu_614,57.2134,-101.2561
fudu_1070,54.2735,-101.5967
fudu_991,98.9911,-101.7051
fudu_751,121.926,-101.8472
fudu_605,69.6713,-102.0038
fudu_415,111.9257,-102.3554
fudu_238,78.2559,-102.4334
fudu_1269,207.6346,-102.434
fudu_140,116.5915,-102.6383
fudu_68,95.4013,-102.6763
fudu_969,47.1039,-102.6897
fudu_202,39.3375,-102.8266
fudu_602,59.7185,-102.9106
fudu_141,119.2787,-103.0061
fudu_612,47.9801,-103.1624
fudu_233,70.8195,-103.4185
fudu_1199,141.8132,-103.9498
fudu_422,234.4087,-104.1463
fudu_1449,51.8384,-104.204
fudu_1040,21.0338,-104.3387
fudu_1115,79.7518,-104.5301
fudu_746,177.866,-104.6185
fudu_825,14.4378,-104.71
fudu_834,26.8538,-104.9026
fudu_598,58.7075,-105.0378
fudu_161,97.2057,-105.07
fudu_828,17.7487,-105.1333
fudu_1270,217.8122,-105.1773
fudu_609,52.0813,-105.2364
fudu_960,42.9144,-105.4259
fudu_1196,147.0007,-105.5956
fudu_191,45.2346,-105.6161
fudu_1214,167.846,-105.7026
fudu_514,59.9952,-105.7458
fudu_1049,12.691,-105.883
fudu_813,28.0112,-106.089
fudu_788,54.6163,-106.1263
fudu_32,186.6728,-106.1815
fudu_182,73.6424,-106.2775
fudu_610,63.826,-106.3103
fudu_31,173.9329,-106.3609
fudu_727,136.8792,-106.8586
fudu_229,29.9312,-106.9636
fudu_1181,228.9944,-107.2537
fudu_1201,126.8421,-107.3076
fudu_957,58.2507,-107.4359
fudu_826,15.9704,-107.4525
fudu_1308,77.5727,-107.5607
fudu_63,112.1754,-107.566
fudu_232,72.0064,-107.6261
fudu_1451,57.497,-107.6625
fudu_162,86.1319,-108.9277
fudu_183,62.9622,-108.9426
fudu_798,39.7601,-108.9539
fudu_822,14.746,-109.0359
fudu_1324,108.6226,-109.053
fudu_69,99.3029,-109.0624
fudu_1071,55.4649,-109.2431
fudu_71,91.2943,-109.2483
fudu_956,57.7913,-109.3915
fudu_773,72.1947,-110.1571
fudu_1402,53.4894,-110.2281
fudu_601,54.8831,-110.5656
fudu_1307,83.3949,-110.6447
fudu_832,32.7158,-110.7023
fudu_829,20.6196,-111.2262
fudu_25,207.6702,-111.2764
fudu_70,90.7555,-111.3955
fudu_728,141.9843,-111.4643
fudu_30,179.1254,-111.5354
fudu_156,96.0782,-111.5894
fudu_1023,48.2606,-111.6395
fudu_1346,36.4146,-111.7049
fudu_429,251.5523,-111.8098
fudu_1344,34.2613,-111.9685
fudu_1349,42.1122,-111.9803
fudu_24,224.7196,-112.0483
fudu_1046,14.2158,-112.103
fudu_1194,136.976,-112.1822
fudu_516,51.6968,-112.9337
fudu_1112,73.5946,-113.0271
fudu_1184,213.509,-113.0855
fudu_952,63.1471,-113.1123
fudu_1310,73.5946,-113.2724
fudu_1448,43.1619,-113.382
fudu_192,47.8557,-113.4127
fudu_954,46.6931,-113.6274
fudu_649,140.221,-113.6633
fudu_1073,45.3204,-113.8908
fudu_29,177.3155,-113.9686
fudu_638,90.998,-113.993
fudu_1025,34.5428,-114.2714
fudu_56,136.1343,-114.4306
fudu_33,173.3178,-114.5082
fudu_1197,139.4005,-114.5183
fudu_1075,29.9561,-114.7336
fudu_830,25.3151,-114.7373
fudu_646,133.652,-114.7455
fudu_1351,28.9205,-114.7921
fudu_203,17.9898,-114.929
fudu_1072,52.9581,-115.2276
fudu_953,49.9822,-115.2517
fudu_729,131.0127,-115.4624
fudu_781,66.3455,-115.5561
fudu_1024,38.7693,-116.1751
fudu_771,66.0836,-116.3374
fudu_590,58.102,-116.4417
fudu_1031,21.3162,-116.4495
fudu_1347,35.662,-117.0456
fudu_731,128.8809,-117.4931
fudu_745,182.8646,-117.7092
fudu_62,115.2895,-117.8221
fudu_184,51.1866,-117.8241
fudu_147,142.6425,-117.8281
fudu_159,82.1088,-117.927
fudu_61,115.0322,-117.9616
fudu_814,28.8937,-118.1696
fudu_863,77.3213,-118.5486
fudu_26,174.2521,-118.5519
fudu_430,244.6412,-118.6899
fudu_1032,25.0351,-118.9082
fudu_206,13.7551,-119.4857
fudu_1105,61.9844,-119.5056
fudu_28,177.0799,-119.6215
fudu_812,26.1631,-119.6897
fudu_204,12.585,-119.9944
fudu_149,143.2464,-120.2194
fudu_27,172.0786,-120.3589
fudu_59,123.5893,-121.0479
fudu_997,86.3639,-121.1029
fudu_780,64.8865,-121.2558
fudu_1348,37.7781,-121.299
fudu_1110,70.3583,-121.3734
fudu_55,130.9236,-121.6433
fudu_1309,58.3538,-121.7009
fudu_228,24.6953,-121.8921
fudu_827,13.0784,-121.9802
fudu_732,128.4864,-122.0865
fudu_810,36.3533,-122.2857
fudu_142,123.1816,-122.2978
fudu_432,271.1388,-122.3188
fudu_458,48.7018,-122.3506
fudu_1195,128.775,-122.4623
fudu_1074,50.1704,-122.5029
fudu_1009,59.4304,-122.576
fudu_1183,211.0098,-122.6382
fudu_34,150.719,-123.0336
fudu_811,27.6078,-123.2048
fudu_1096,70.7836,-123.2873
fudu_1333,76.7392,-123.4652
fudu_589,54.5379,-123.4968
fudu_145,115.9156,-123.747
fudu_1111,71.1686,-123.8914
fudu_148,133.4586,-124.1203
fudu_1318,65.4958,-124.3884
fudu_1342,40.4481,-124.4239
